GivenName;Surname;Username;Password;City;Company;Country;Department;OU;HomePhone;MobilePhone;Office;PostalCode;StreetAddress;Title
Steffen;AlTest;u1b101;Passw0rd1!;Dkcity;ALPACO Inc.;DK;IT;OU=IT,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Marco;Mercier;u1b102;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Giovanni;Leroy;u1b103;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Luca;Martin;u1b104;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Francesco;Dubois;u1b105;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Matteo;Morel;u1b106;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Alessandro;Lefevre;u1b107;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Andrea;Rousseau;u1b108;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Roberto;Laurent;u1b109;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
Davide;Girard;u1b110;Passw0rd1!;Dkcity;ALPACO Inc.;DK;Sales;OU=Sales,OU=DK,OU=Users,OU=ALPACO,DC=corp,DC=sdwmu,DC=dk;66122436;31261412;DKSales;5000;DKStreet;Sales
